name: 3d943696-3a7c-45cf-90d0-de2e66c67a86 num_items: 7709
token, class_id, token_value, token_tf, token_df
упрашивать, @default_class, 4.99097154716e-07, 1.0, 1.0
школьный, @default_class, 4.99097154716e-07, 1.0, 1.0
сущность, @default_class, 4.99097154716e-07, 1.0, 1.0
маринка, @default_class, 4.99097154716e-07, 1.0, 1.0
ахти, @default_class, 9.98194309432e-07, 2.0, 1.0
стопроцентный, @default_class, 9.98194309432e-07, 2.0, 1.0
красить, @default_class, 1.49729135046e-06, 3.0, 1.0
урал, @default_class, 9.98194309432e-07, 2.0, 1.0
восемнадцать, @default_class, 4.99097154716e-07, 1.0, 1.0
прокатать, @default_class, 4.99097154716e-07, 1.0, 1.0
учитель, @default_class, 4.99097154716e-07, 1.0, 1.0
сгонять, @default_class, 1.49729135046e-06, 3.0, 1.0
коммерсант, @default_class, 4.99097154716e-07, 1.0, 1.0
блиц, @default_class, 1.49729135046e-06, 3.0, 1.0
самолично, @default_class, 4.99097154716e-07, 1.0, 1.0
авито, @default_class, 4.99097154716e-07, 1.0, 1.0
этический, @default_class, 4.99097154716e-07, 1.0, 1.0
мом, @default_class, 4.99097154716e-07, 1.0, 1.0
талдычить, @default_class, 3.99277723773e-06, 8.0, 1.0
плод, @default_class, 4.99097154716e-07, 1.0, 1.0
организация_сторонний, @default_class, 4.99097154716e-07, 1.0, 1.0
несправедливо, @default_class, 4.99097154716e-07, 1.0, 1.0
конверт_пин, @default_class, 4.99097154716e-07, 1.0, 1.0
обложка, @default_class, 4.99097154716e-07, 1.0, 1.0
сообщество, @default_class, 1.49729135046e-06, 3.0, 1.0
обзор, @default_class, 4.99097154716e-07, 1.0, 1.0
заочный, @default_class, 4.99097154716e-07, 1.0, 1.0
журналист, @default_class, 4.99097154716e-07, 1.0, 1.0
городской_телефон, @default_class, 4.99097154716e-07, 1.0, 1.0
рокетбанк, @default_class, 4.49187427876e-06, 9.0, 1.0
неразборчиво, @default_class, 4.99097154716e-07, 1.0, 1.0
